business_id,business_city,business_full_address,business_latitude,business_longitude,business_name,business_review_count,business_stars,business_state,business_Take-out,business_Alcohol,business_NoiseLevel,business_Attire,business_Delivery,business_HasTV,business_TakesReservations,business_WheelchairAccessible,business_WaiterService,business_AcceptsCreditCards,business_GoodforKids,business_GoodForGroups,business_PriceRange,business_categories
Gw5POFxBRoJxN_ZYhk6lgQ,Charlotte,"8706 Pineville-Matthews Road
Suite 100
Charlotte, NC 28226",35.089035,-80.8670549,Bruegger's Bagels,9,4.0,NC,True,none,average,casual,False,False,False,True,False,True,True,True,2.0,"[Food, Sandwiches, Bagels, Breakfast & Brunch, Restaurants]"
MMgjU4K0D9RLsb7BWEic4g,Charlotte,"8510 Park Rd
Charlotte, NC 28210",35.117183,-80.857545,Domino's Pizza,4,4.5,NC,,,,,True,,,,,,,,2.0,"[Sandwiches, Pizza, Chicken Wings, Restaurants]"
LT0AgHTpDifuHSXgyLmJwg,Charlotte,"309 W 4th St
Charlotte, NC 28202",35.228193,-80.846592,Green's Lunch,32,3.5,NC,True,none,average,casual,False,False,False,True,False,True,True,True,1.0,"[Hot Dogs, Restaurants]"
USdRzNk14UdjZWFgBJb0wA,Charlotte,"511 N Church St
Fourth Ward
Charlotte, NC 28202",35.231684,-80.8396379,McNinch House Restaurant,25,4.5,NC,False,full_bar,quiet,formal,False,False,True,,True,True,False,False,4.0,"[American (New), Southern, French, Restaurants]"
ePP0Eqz8JKSbtdt2phiB4A,Charlotte,"401 W 9th St
Fourth Ward
Charlotte, NC 28202",35.23361,-80.840783,Alexander Michael's,175,4.0,NC,True,full_bar,average,casual,False,True,False,False,True,True,False,True,2.0,"[Cajun/Creole, American (Traditional), Bars, Pubs, Nightlife, Restaurants]"
ASwN3Ih0Eh1oH0npLbzVjA,Charlotte,"130 W 3rd St
Uptown
Charlotte, NC 28202",35.2263237,-80.8459493,Showmars,11,4.0,NC,True,none,average,casual,False,False,False,,True,True,True,True,1.0,"[Greek, American (Traditional), Mediterranean, Restaurants]"
Lt9o2RmacVY2L-IWLA8uTg,Charlotte,"227 W Trade St
Charlotte, NC 28202",35.2286502258,-80.845006058,Morton's The Steakhouse,58,4.0,NC,False,full_bar,average,dressy,False,False,True,True,True,True,False,True,4.0,"[American (Traditional), Steakhouses, Restaurants]"
gpCtDCSXIoQx70cq9itfNA,Charlotte,"425 S Tryon St
Ste 140
Uptown
Charlotte, NC 28202",35.223994,-80.846913,Matt's Chicago Dog,47,4.0,NC,True,none,average,casual,False,True,False,True,False,True,True,True,1.0,"[Burgers, Hot Dogs, Sandwiches, Restaurants]"
WuCcv_Dyd_1B_1-4jwK7sQ,Charlotte,"208 N Tryon St
First Ward
Charlotte, NC 28202",35.228075,-80.8415605,Rí Rá Irish Pub,159,3.5,NC,True,full_bar,average,casual,False,True,True,True,True,True,False,True,2.0,"[Pubs, Irish, Nightlife, Bars, Restaurants]"
rT-iPtIXMKj3dTcl87lbOw,Charlotte,"214 N Tryon St
First Ward
Charlotte, NC 28202",35.2281289,-80.841488,Soho Bistro,74,4.0,NC,True,beer_and_wine,quiet,casual,True,False,True,True,True,True,True,True,2.0,"[Chinese, Restaurants]"
