reviewer_id,reviewer_average_stars,reviewer_fans,reviewer_name,reviewer_review_count,reviewer_yelper_since,reviewer_funny_votes,reviewer_useful_votes,reviewer_cool_votes,reviewer_total_votes,reviewer_num_friends,reviewer_years_elite,reviewer_currently_elite,reviewer_num_compliments
whKpnugMnWTz3UjlrN71yg,3.87,15.0,Todd,291.0,2007-07,0,0,0,0,113,3,0,314
4522K1jh68XVpUsPh-5I7A,3.8,5.0,Holly,113.0,2010-12,0,0,0,0,1,2,0,23
FdaMP9RQHCY7WMFPq80LCg,3.67,6.0,Brian,401.0,2011-06,0,0,0,0,45,5,1,113
PM2jXrlVzik1jDwwahLJJQ,3.74,25.0,Candyce,505.0,2011-09,0,0,0,0,116,4,1,279
naBs2Kg2KClrKcoRgFE2eA,3.69,5.0,Elizabeth,108.0,2012-01,0,0,0,0,34,3,0,48
mHGxSFGMYj4uDap-fcAvaw,3.53,1.0,Dan,206.0,2013-06,0,0,0,0,5,3,1,7
izn2q7eRSq4XtlJMzoaonA,4.0,9.0,Jens,39.0,2012-09,0,0,0,0,0,0,0,9
sc8OSFfftZk8dvJiKaH1Dg,3.28,1.0,J,29.0,2010-06,0,0,0,0,0,0,0,2
LkfzD47YI70jabh_9ViFdg,2.38,0.0,PB,8.0,2012-09,0,0,0,0,0,0,0,1
A6bPFcUjuuayRBoyybedDQ,4.17,15.0,Dion,254.0,2011-07,0,0,0,0,19,4,0,136
fXo7RWiS-U8zr4zImqIfLA,3.22,1.0,Ashley,18.0,2012-12,0,0,0,0,5,0,0,4
lmMjtEAtQYGuM6Zq3tPv5A,4.0,0.0,Michael,1.0,2011-09,0,0,0,0,0,0,0,0
3Gazlt5RwZQIu1ZWMwi0cg,3.52,2.0,Gerald,24.0,2006-03,0,0,0,0,1,0,0,0
afTF61m7-hcOWAZ-FXc86Q,3.99,15.0,Ian,176.0,2010-01,0,0,0,0,56,6,1,170
D7i1VsUJmrdSOkxDKtPsNQ,2.92,0.0,Bailey,13.0,2010-11,0,0,0,0,0,0,0,1
VpVp2Ws2RZKWyy5mL3Rfdw,3.37,0.0,Suresh,30.0,2010-10,0,0,0,0,4,0,0,2
c6vXlUq_RJbxbV2CHGOl_Q,3.38,67.0,Fred,1057.0,2010-07,0,0,0,0,58,4,1,594
fH6BHji71m6KJS5G6-BKtA,3.55,0.0,Bill,20.0,2011-03,0,0,0,0,0,0,0,5
jvpd48tfHfatu3Ttc5DuEg,3.44,1.0,Alan,36.0,2009-05,0,0,0,0,6,0,0,17
FHSOR7FlOJOh6RjejrDwRQ,3.57,11.0,Jared,84.0,2010-04,0,0,0,0,100,3,0,153
N5lS1Q1GV1Od5PXmP35M3Q,3.44,9.0,Dan,307.0,2011-01,0,0,0,0,56,3,1,223
OqPdU2th2Qqr1w3fnfHevA,3.02,5.0,Walter,148.0,2011-02,0,0,0,0,19,0,0,48
ezzbUJqVDBnfQsLbGT96KQ,3.0,0.0,Irvin,2.0,2012-04,0,0,0,0,0,0,0,0
W6LTsXcY1R76M9EdeN0G6A,3.93,81.0,Nikki,280.0,2012-03,0,0,0,0,549,3,1,553
UCkM00rkSeA9fXFENWyH9w,3.04,1.0,Jim,69.0,2012-06,0,0,0,0,4,0,0,6
6pK_c7oKlUO8o8dWbnO2jg,4.23,0.0,Amelia,47.0,2013-02,0,0,0,0,0,0,0,1
woZAlrx9DGhp_NQX6TzjLw,3.79,0.0,Matt,14.0,2010-06,0,0,0,0,4,0,0,6
93ZEc82gMfTZO4cDPR_eyw,3.32,15.0,Jon,590.0,2009-06,0,0,0,0,15,5,1,325
STYNw0vKfJCvBkM8tUoMxQ,4.11,0.0,Dean,35.0,2010-03,0,0,0,0,0,0,0,8
pnDIFiXeU9tm3KtIISe64Q,4.21,29.0,JJ,228.0,2012-04,0,0,0,0,333,3,1,385
20oXm0uvjxTBJRvxM1EVPA,3.27,6.0,Gilford,350.0,2013-04,0,0,0,0,0,0,0,2
8KdDd_6boBq9ilWttvxv8Q,4.29,0.0,jim,84.0,2011-07,0,0,0,0,0,0,0,7
ArgkJFYvW6VtiS0woUDkXg,2.45,0.0,Tracy,21.0,2012-06,0,0,0,0,0,0,0,1
fW0eVXKzwg8Bgbl2AJDEjg,4.22,0.0,Tracy And Charlie,21.0,2012-10,0,0,0,0,1,0,0,1
F5PUbxJDut_dWJuNWZ4mRQ,3.48,1.0,Andyman,25.0,2011-10,0,0,0,0,0,0,0,3
Dg-EPaMJeUKqZ683sPjt9Q,3.58,0.0,Tim,138.0,2009-12,0,0,0,0,7,0,0,13
P1MXER5Ztx7uHJEkRZpKgw,3.27,0.0,Scott,11.0,2012-06,0,0,0,0,0,0,0,0
sxyVjsudEOMLGms0Jf5kVg,5.0,0.0,Andrew,3.0,2014-08,0,0,0,0,0,0,0,0
49Xz2Dn8ExaN86biA60KTw,3.51,0.0,Mark,85.0,2012-12,0,0,0,0,4,0,0,8
1K50PvXa6l5PBXZXhzkB-g,3.84,2.0,Marco,76.0,2013-05,0,0,0,0,89,2,1,42
VDAbMc0V5R_cFjvxynXmig,4.11,1.0,Peter,65.0,2012-08,0,0,0,0,0,0,0,4
2Qo8EXnxxfTtUWIqPPih6g,3.87,49.0,John,810.0,2006-09,0,0,0,0,329,7,0,716
1R6wDvXIzmofopYllK_fpQ,3.77,3.0,Lee Ann,176.0,2009-03,0,0,0,0,22,3,0,95
lSqWp5cixYXnK4OIqgLcqA,1.5,0.0,cary,3.0,2010-07,0,0,0,0,0,0,0,0
lpZtfD-vCqUER1yGKEvUPw,3.96,201.0,Nicole,1170.0,2010-04,0,0,0,0,803,6,1,3903
OXzYyZSHo9Dl6Qd0s_o2Ig,3.59,22.0,Melissa,467.0,2010-05,0,0,0,0,138,6,1,377
Ar0ANKWO6J_vrq_edLd8Sw,3.89,0.0,James,18.0,2012-09,0,0,0,0,11,0,0,4
N4Cpjt_SojZlyoEnTjexlg,4.16,0.0,Carol,37.0,2012-02,0,0,0,0,2,0,0,8
OapEAxqn7u2zYi4No9wDSQ,3.96,15.0,Heather,245.0,2010-06,0,0,0,0,24,5,0,46
3svrlz9TtKvHt7DYXrlCZA,3.5,1.0,Patrick,10.0,2010-12,0,0,0,0,7,0,0,1
tha1bsWQNbDTnHYMk48vGA,3.83,3.0,Lemuria,134.0,2012-02,0,0,0,0,168,0,0,96
Ie9LBe0l2VhDc0ClKDGiig,3.5,0.0,Kathy,101.0,2012-05,0,0,0,0,4,0,0,9
pY2L8FT3A0q1gqmr2rUUkQ,4.17,0.0,Jim,6.0,2012-08,0,0,0,0,0,0,0,4
ypXbXrStaVkz3uhAZeatFw,4.0,0.0,Scott,6.0,2010-03,0,0,0,0,0,0,0,0
RZKCuchXfGnRhYnk4hdOvA,3.33,0.0,Jake,7.0,2011-06,0,0,0,0,0,0,0,1
yfMaMmqIYU39FxTP1o3jdA,2.55,0.0,Dan,13.0,2011-08,0,0,0,0,0,0,0,1
ts7EG6Zv2zdMDg29nyqGfA,3.66,24.0,Travis,791.0,2011-04,0,0,0,0,94,5,1,219
0qFezruxPC7gsxHSp5fVpg,5.0,0.0,Larry,3.0,2014-09,0,0,0,0,0,0,0,0
ID0lGkX5zEtt7XvAmJRZXA,4.43,0.0,Tom,14.0,2013-07,0,0,0,0,1,0,0,0
2OKT8s62Ns7YD6pX82x5Cg,4.5,0.0,Matthew,6.0,2014-11,0,0,0,0,1,0,0,0
Sg5g13m0kZJ9P8CdIAD1AQ,4.0,0.0,Kelly,7.0,2014-11,0,0,0,0,12,0,0,2
6f9xCzChuA5eBoxoR6EmAQ,4.0,5.0,Lucinda,162.0,2011-07,0,0,0,0,13,4,1,35
fYPSCn9Om5bhYYxRSzz-hQ,3.67,0.0,Christian,3.0,2013-06,0,0,0,0,3,0,0,0
llkm_iXQszkN5DZvmqjNqA,4.08,6.0,Raegen,217.0,2006-11,0,0,0,0,14,5,1,45
yzqRSmuCm1pS-hfiTzHf-Q,3.65,2.0,Tony,111.0,2008-03,0,0,0,0,2,0,0,28
NntGigOiTJOPI3GL6D4khQ,3.29,9.0,Jonny,165.0,2008-01,0,0,0,0,4,4,1,57
QG_xAsQiuLe4bOOpds3x5g,3.48,10.0,Alessandra,216.0,2008-07,0,0,0,0,32,0,0,44
2-uR7a5losM7P_PAZdws3A,3.68,5.0,Rebekah,228.0,2008-07,0,0,0,0,4,0,0,5
_ma5L1ypUiIp9p-UdeyVLA,3.49,12.0,Peter,249.0,2008-08,0,0,0,0,23,0,0,148
kDYpTc-yc8UAxCs_LhX1yA,3.4,3.0,Tim,154.0,2008-09,0,0,0,0,3,0,0,0
nHsj0cHOiroAsmDfF50BtA,3.97,16.0,Eric,512.0,2008-02,0,0,0,0,43,6,1,110
ITwewV_k1EcFgxfWNlssqQ,3.56,6.0,Amy,209.0,2006-06,0,0,0,0,10,0,0,6
Pl_5HY5Uk4YzmMaEXHfXpQ,4.41,12.0,Pinaki,368.0,2008-02,0,0,0,0,57,4,1,506
EFxbGCJ8tPbk47GU3hVLwQ,3.33,0.0,Jessica,3.0,2009-01,0,0,0,0,9,0,0,0
kxRnhpUgooticN9DimR-CQ,4.12,4.0,Nick,60.0,2008-06,0,0,0,0,10,2,0,34
yhRzT6NaqkKwamjuoNYKug,4.0,0.0,Sarah,10.0,2008-12,0,0,0,0,3,0,0,1
BY9Xk5754hpJv3pVgD_fkg,4.8,1.0,J.D.,19.0,2009-02,0,0,0,0,4,0,0,6
24HBPAAIo83rfuNqflpBTQ,4.27,4.0,Neil,30.0,2008-12,0,0,0,0,32,0,0,14
bnl3QzOPiCxb7RyvlCGoKg,3.52,7.0,Homer,256.0,2007-12,0,0,0,0,4,0,0,12
veeA53Z1NP4GWPZMIxOQsg,3.92,6.0,Craig,375.0,2009-04,0,0,0,0,21,6,0,52
T_kMEgHqIqwbHR_7yhqWFw,3.41,5.0,Winston,298.0,2009-04,0,0,0,0,12,0,0,30
zHfA7hsEDI2TbPJ-nDD-QQ,3.68,12.0,Sam,307.0,2008-04,0,0,0,0,60,6,1,165
Syn0IvWg-M7I4G2t_XyHoA,3.47,10.0,Rafael,427.0,2007-07,0,0,0,0,5,0,0,55
ZZjQ2C-MgjEGNCk47LfNLQ,3.72,0.0,Michael,35.0,2007-07,0,0,0,0,1,0,0,1
YEc_nBNWDOBmJ72S7olTYQ,4.17,3.0,Marc,103.0,2007-04,0,0,0,0,1,0,0,10
iLULcKREhu5-KJg6rev66A,4.33,0.0,R.E.,6.0,2009-02,0,0,0,0,0,0,0,1
8BE2da6w9wx-6JuiODT13Q,4.0,0.0,Melody,5.0,2009-08,0,0,0,0,2,0,0,2
C_VhIpm1TRW_YusTBaKvrw,3.31,0.0,Marty,26.0,2009-05,0,0,0,0,30,0,0,17
yotdBr2dQMr8U1YWQ1DdZw,4.28,0.0,Paul,60.0,2008-02,0,0,0,0,1,0,0,7
k6Bh8QdcjBkKw4XPWtMYSA,4.38,1.0,Jeremy,16.0,2009-11,0,0,0,0,7,0,0,6
rkNZl74XHEW9U1AK7brYVw,3.12,0.0,Kurt,41.0,2008-07,0,0,0,0,1,0,0,6
MENv-L0d0PjjG--6oaoHOg,4.0,0.0,Michelle,1.0,2010-02,0,0,0,0,0,0,0,0
